Store Name,Address,Region,Product,Draw Date,Value
MAC'S MILDMAY,57 ELORA ST N0G-2J0 MILDMAY,MILDMAY,Encore - Lotto Max,30-May-2023,100000.0
MACEWEN CARLETON PLACE (21280),322 WILLIAM ST K7C-3S3 CARLETON PLACE,PLACE,CROSSTRIPLER,31-3301,100000.0
MACEWEN LUCAN (21018),33406 RICHMOND ST. N0M-2J0 LUCAN,LUCAN,Encore - 649,06-May-2023,100000.0
MANITOWABI CLOTHING AND GIFTS,2174 WIKWEMIKONG WAY P0P-2J0 WIKWEMIKONG,WIKWEMIKONG,Encore - Daily Keno,23-Jul-2023,100000.0
METRO #055- GUELPH,500 EDINBURGH ST N1G-4Z1 GUELPH,GUELPH,Encore - 649,01-Apr-2023,100000.0
MINI SMOKERS KORNER,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,SCARBOROUGH,Encore - 649,22-Jul-2023,100000.0
MISTER CONVENIENCE,13 KING ST K0L-2W0 OMEMEE,OMEMEE,POWER UP,31-2368,100000.0
MR. GAS,4042 INNES RD K1C-1T1 ORLEANS,ORLEANS,Encore - 649,29-Mar-2023,100000.0
OASIS CONVENIENCE,7297 HWY #26 L0M-1S0 STAYNER,STAYNER,Encore - Lottario,29-Apr-2023,100000.0
OASIS GAS & VARIETY,1824 FOURTH LINE N0A-1M0 OHSWEKEN,OHSWEKEN,POWER UP,31-2368,100000.0
ON THE RUN ULTRAMAR GAS STATION,10 NORMAN JONES PL L4A-7X5 STOUFFVILLE,STOUFFVILLE,Encore - Lotto Max,30-Jun-2023,100000.0
ORANGE MART,3603 HIGHWAY 7  E L3R-8W3 MARKHAM,MARKHAM,WHEEL OF FORTUNE LOTTO,01-May-2023,100000.0
ORCHARD GROVE PHARMACY,8123 LUNDY'S LANE L2H-1H3 NIAGARA FALLS,FALLS,Encore - Lotto Max,30-May-2023,100000.0
PAPELARIA PORTUGAL,220 OSSINGTON AVE M6J-2Z9 TORONTO,TORONTO,Encore - Lotto Max,18-Apr-2023,100000.0
PARK'S VARIETY,43 NORTH PARK ST N3R-4J7 BRANTFORD,BRANTFORD,SUIT UP,31-2356,100000.0
PETRO CAN,3680 LANGSTAFF RD L4L-9A8 WOODBRIDGE,WOODBRIDGE,Lotto 649,25-Mar-2023,100000.0
PETRO CANADA,1007 ST LAURENT BLVD K1K-3B1 OTTAWA,OTTAWA,Encore - 649,15-Apr-2023,100000.0
PETRO CANADA,1345 LAWRENCE AVE E M3A-1C6 NORTH YORK,YORK,Encore - 649,01-Mar-2023,100000.0
PETRO CANADA,1487 CENTRE ST L4J-3M7 THORNHILL,THORNHILL,Encore - 649,03-Jun-2023,100000.0
PETRO CANADA,1845 ADELAIDE ST N N5X-0E3 LONDON,LONDON,Encore - Ontario 49,17-Jun-2023,100000.0
PETRO CANADA,471 MAIN ST S L6Y-1N6 BRAMPTON,BRAMPTON,Encore - 649,26-Jul-2023,100000.0
PETRO CANADA,471 MAIN ST S L6Y-1N6 BRAMPTON,BRAMPTON,Encore - Daily Grand,27-Jul-2023,100000.0
